 Review_ID,Review_date,Review_title,Google_rating,Review_details_prequestsros,Review_details_cons
3, 9 Aug 2017,"""Fake Management | Full Laiers""",1.0,"Nothing positive in this company even though they will pay you nothing in term your caliber and salary is like peanuts and half salary at the end of month| CEO is showing big clap to data-mining but indirectly ruining them slowly.Dont join this company, you will regret later, Decide today",They pay you nothing and all the fresher and even though CEO look like fresher in term on knowledge of expertise. HR one of Full CHAPLOOS and crap and he decide business target and even though he dont know how to do sales. If he as what you can achieve then ask he has closed any deal till date in his life
4, 8 Aug 2017,"""reviews""",1.0,if your marks is less than 60% then join.Salary on time.Hello fresher employee don't be hesitate in the company.,Down side is the company is that the company work on windows from application and scrape the data.Team leader have not knowledge.No increment.treat as a labour. No idea how to talk.No professnal skills.Not so much learning.The Qa team omg.Null knowledge.In company only create the pressure.
5, 14 Jul 2017,"""Want to frustrate yourself come join.""",1.0,Friday fun is the only plus point.Salary comes on Time.,1. Work is not the same as offered designation .2.In last two months 20-25 employees resigned that clearly indicates how stable the company is ?3. Team Leaders Review:- It requires another section to be made.                             -Carries vast knowledge of nothing.                             -Do politics most of the time.                             -Their only goal is to make good impression in front of Companies                               owner.
6, 17 Apr 2017,"""Happy with the work environment,supportive team,a lot of chances for growth""",5.0,"They are a growing company and provide opportunities for growth,seniors are very supportive.","nothing as much,i am satisfied with their policies"
7, 19 Apr 2017,"""Nice Place & Environment to work""",4.0,"Work Environment is too good.Team members are very supportive.TL's are very co-operative.Apart from work,there are fun activites every month & On occasions also.Salary always comes on time.Its a nice place & nice collegues to work with.","Nothing much, everything is good."
8, 25 Mar 2017,"""I you do not want to waste your time then don`t join here""",2.0,1-Only one pros is that salary comes in time except March and april.2-For fun Friday but only last Friday of month.,"1-If you want to leave early in notice period before completion of your notice period,they are followed Government policy to go to HR then manager (Who have no knowledge about PR skills),then go to TL,This process continue until you cannot complete 20 rounds ,then they tell ok now it may be possible and we maybe released before completion of your notice period.2-You cannot open any news and other link on google else you should captured by there internal use software and after that you should give a genuine region why you should open this3-You cannot update your self with latest technology bcz they don`t allow to open any link beyond your work.4-You cannot enter with your smartphone in your working area .5-After all the main thing is they are giving dinner package in night sift employee ,You can eat it what ever they will provide you either it is nasty or testy...."
9, 1 Mar 2017,"""Stable company""",5.0,"Excellent company, stable projects, best part is the HR-Policies and the management !!!New 3 storey-building with top infrastructure !!","As a sernior, nothing that i really can point out.."
0, 23 Feb 2017,"""good place to work""",5.0,The work culture is very good.There is a lot of things for learningand the team an team is very supportive .The management and Hr is very friendly.The policy of company is very work good and benifical,nothing .Wishing All the best for future
1, 29 Dec 2016,"""Company with great growth""",5.0,1. No company grows so exponentially unless you perform very well in the current competitive markets. Loginworks growth was tremendously well since last 2-3 years.2. Good company for folks who look for challenging opportunities.3. Great opportunity for creative thinking folks.4. Direct client exposure to improve the client facing skills.5. Overall I am having wonderful experience working in Loginworks Softwares,"As the company is growing, you may find some logistical challenges, but these are resolved quite proactively by management team."
2, 22 Nov 2016,"""An Excellent Work Environment""",5.0,"With Great Managment team, Positive approach with each employee working with this company.- Paid on time- Growth opportunity- Excellent work culture- Professional each team members- Employee Benefit- Work profession Similar to the CMMI5 level of companies worldwide.I would love to suggest all those job seekers come to join this company and get more advantage, I mention in above line.Thank you.",I didn't see a single point where I can comment.
3, 16 Nov 2016,"""Loginworks Softwares""",5.0,"I joined Loginworks around 6 months ago and according do me it is one of the best company in which I have ever worked in.Be it in the terms of work culture or in the terms of salary or be it the management part.Every department is so well organised and the employees over here will make you feel like home.So,if you are planning to join this company,then you are in the right track of your career.","Every organisation has its merits and de-merits.Though its only been 6 months since I have joined this organisation and till now I have always seen positive side of it.So,as of now there is no side-effects. :)"
4, 5 Oct 2016,"""Don't Join this company""",1.0,Not any Pros for new employee,"1. Agree for salary whatever you asked before interview.2. After clear all round, don't give you expected salary only 10-15% hike.3. HR is not approachable."
5, 25 Aug 2016,"""Very Bad Company""",1.0,Company owner is good and Rama Pati Sir is also good but rest of all is very bad,"Never join this company, They are expected you have to stay daily in night.does't matter for there job timing they don't know."
6, 1 Jun 2016,"""Manager""",4.0,Recognizes deserving talent.The company offers a whole lot of opportunities to its employees.You can be innovative and do the different.,Small size teams and very much process driven.
7, 30 Jun 2016,"""Hopeless""",1.0,cant think of any...but since i have to complete 20 word minimum thats why i wrote this.,this company is more about money making than development. not a very technology rich company.their recent obsession is some buldgy food ordering applcation...and mobile development has turned into a joke...they are simply into making money from food ordering application and not interested into any other mobile development work.Only few senior employees are controlling this place and made it in a way that people are doing any thing to get out of it.payment is not good...they just want work to be done by their employees.....anyhow.
8, 28 Oct 2015,"""NEVER EVER join LOGinworks""",1.0,you have to willing work in 24x7 environment.There is no time for leaving office.you have to work on diwali and holi festivals anyhow.QA department has no sense to talk.,"They hire freshers as associate software developer for monitor their toolsand they do WEBSITE SCRAPING not development. All seniors are working here since they were freshers.if you are fresher never ever join loginworks. nothing is here for learning. if you are selected, then it's better to stay at home and study new technologies.Management never listens to their employee. Worst policy for appraisals."
9, 7 Nov 2014,"""One of the Best Company""",5.0,Loginworks Softwares is a technically advanced company where latest technology is used for the development of web application and mobile application development.,All the employees of Loginworks Softwares is hard working and dedicated to success.
0, 4 Apr 2018,"""Major layoff""",1.0,friendly team membersclient interaction is there on daily basisless workload or i should say no workusing jira process,"no job security. fired within months because client left.very less senior people....all people almost new.team leaders fight within themselves and don't have any knowledge.only support work, nothing new comes.very bad decision to join this company wasted my time"
